"","BU207","BU208","BU211","BU301","BU304","CR108","CR109","CR125","CR132","EH152","EH153","ES171","ES174","ES189","ES246","ES355","ES409","ES440","ES618","ES828","GR135","GR141","IT113","IT148","IT151","IT152","IT164","IT165","IT167","IT168","IT317","IT321","PO145","PO241","PO254","SE127","SE129","SE130","SE134","SL143"
"OTU1162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331146133562274,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360390264720875,0,0,0,0,0,0,0
"OTU1167",0,0,0,0,0,0,0,0,0.00291278223028421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153428436730632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152334299112877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1175",0,0,0,0,0,0,0,0,0,0,0,0.00294037100563571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1177",0,0,0,0,0,0,0,0,0,0,0,0.00245030917136309,0.000468124946803983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137517337854018,0,0,0,0,0,0,0
"OTU1187",0,0,0,0,0,0,0,0,0,0,0,0.000554922959396936,0,0,0,0.000306913220286964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1188",0.000469400927066831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU119",0.000328580648946782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274549680418361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339822321471916,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1195",0,0,0,0,0,0,0,0,0.00194476178848317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188749199501163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1200",0,0,0,0,0,0.000411647456452032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235350685174172,0,0,0,0,0.000467347956131605,0
"OTU1208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284518630042796,0,0,0,0,0,0,0
"OTU1209",0,0,0,0,0,0,0,0,0,0,0,0,0.00157460209379522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159437146905008,0,0,0,0,0,0,0,0,0
"OTU1210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110401226680296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116023511372349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
